Длина,Ширина,К-во,В,Н,Л,П,Текстура,Название,Кратность сращения
826,966,1,0,0,0,0,+,Верх 1 Задник,
2096,966,1,0,0,0,0,+,Низ 1 Задник,
826,966,1,0,0,0,0,+,Верх 2 Задник,
2096,966,1,0,0,0,0,+,Низ 2 Задник,
826,966,1,0,0,0,0,+,Верх 3 Задник,
2096,966,1,0,0,0,0,+,Низ 3 Задник,
2100,966,1,0,0,0,0,+,Верх 4 Задник,
822,966,1,0,0,0,0,+,Низ 4 Задник,
907,520,4,0,0,0,0,+,Низ 1 Ящик Дно 1,
