Длина;Ширина;К-во;В;Н;Л;П;Текстура;Название;Кратность сращения
2096;966;3;;;;;;Низ;
826;966;3;;;;;;Верх;
2100;966;1;;;;;;Книги;
822;966;1;;;;;;Комод;
